ID,Predict1,Predict2
1001,1,1
1002,1,1
1003,0,0
1004,0,1
1005,0,0
1006,0,0
1007,0,1
1008,0,0
1009,1,0
1010,0,1
1011,0,0
1012,0,0
1013,1,1
1014,0,1
1015,1,0
1016,0,0
1017,1,1
1018,0,1
1019,1,0
1020,0,1
1021,0,0
1022,1,1
1023,1,0
1024,0,0
1025,0,0
1026,0,0
1027,1,1
1028,0,1
1029,0,0
1030,1,1
1031,0,0
1032,1,1
1033,1,1
1034,1,0
1035,1,1
1036,1,0
1037,1,0
1038,0,0
1039,1,0
1040,1,0
1041,1,0
1042,1,0
1043,0,0
1044,0,0
1045,0,1
1046,1,1
1047,0,0
1048,0,0
1049,0,1
1050,0,0
1051,0,0
1052,1,1
1053,1,1
1054,1,0
1055,1,0
1056,0,0
1057,1,1
1058,1,1
1059,1,0
1060,0,0
1061,0,0
1062,1,0
1063,1,1
1064,0,1
1065,0,0
1066,1,1
1067,1,0
1068,0,0
1069,0,0
1070,1,0
1071,1,0
1072,1,1
1073,0,0
1074,0,0
1075,1,1
1076,1,1
1077,0,0
1078,1,0
1079,0,0
1080,1,1
1081,0,0
1082,0,0
1083,0,1
1084,0,0
1085,0,0
1086,0,0
1087,1,1
1088,0,0
1089,0,1
1090,0,0
1091,0,0
1092,0,0
1093,1,1
1094,0,0
1095,1,1
1096,1,1
1097,0,0
1098,0,1
1099,0,0
1100,0,0
