@relation test
@attribute Class {True, False}
@attribute C1 real
@attribute C2 {True, False}
@attribute C3 integer
@attribute C4 real
@attribute C5 integer
@attribute C6 integer
@attribute C8 integer
@attribute C12 integer
@attribute C13 integer
@attribute C14 integer
@attribute C16 real
@attribute C18 integer
@attribute C19 real
@attribute C20 integer
@attribute C22 {True, False}
@attribute C23 integer
@attribute C24 integer
@attribute C25 real
@attribute C26 integer
@attribute C27 integer
@attribute C28 integer
@attribute C29 {True, False}
@attribute C31 real
@data
True,0.6140350877192983,True,5,0.11594202898550726,2,1,3,1,3,4,0.13461941898116478,1,0.2439867945291621,4,False,1,3,0.11594202898550726,2,4,3,True,0.41903713892709765
False,0.29824561403508765,True,3,0.11594202898550726,7,1,1,1,3,3,0.7114014685091439,1,0.45401666404653357,2,True,2,1,0.11594202898550726,4,2,3,False,0.20110041265474554
True,0.38596491228070173,True,5,0.21739130434782608,2,1,3,2,3,4,0.09373375290737447,1,0.2276371639679296,3,False,1,2,0.21739130434782608,3,4,1,True,0.22266850068775793
False,0.17543859649122806,True,3,0.15942028985507248,7,1,4,1,3,3,0.2504081725726273,1,0.6245873290363151,4,True,1,1,0.15942028985507248,2,2,2,True,0.06343878954607979
False,0.38596491228070173,True,3,0.11594202898550726,1,1,1,4,3,3,0.021498609020841886,1,0.5068385473982078,4,True,1,1,0.11594202898550726,3,4,4,True,0.06899587345254471
False,0.12280701754385964,True,2,0.11594202898550726,3,1,1,2,1,2,0.05397911250969124,3,0.27637163967929573,1,True,1,2,0.11594202898550726,2,4,4,True,0.02063273727647868
False,0.7543859649122807,True,3,0.043478260869565216,4,3,1,4,3,3,0.25963424089022663,1,0.31944662788869677,4,True,1,2,0.043478260869565216,2,1,1,True,0.059862448418156806
True,0.10526315789473684,True,2,0.13043478260869565,2,1,2,2,3,3,0.31011082227390885,1,0.5810407168684169,3,True,2,1,0.13043478260869565,5,4,2,True,0.14960110041265476
False,0.12280701754385964,True,3,0.11594202898550726,2,1,1,4,3,3,0.1103981392803393,1,0.7729916679767332,1,False,1,2,0.11594202898550726,2,4,2,True,0.028225584594222836
False,0.45614035087719296,True,5,0.4782608695652174,7,1,4,4,3,3,0.05626852738632735,1,0.334381386574438,2,False,2,2,0.4782608695652174,3,2,3,False,0.5845942228335625
True,0.07017543859649122,True,2,0.46376811594202905,2,1,2,4,3,3,0.058557942262963465,1,0.3666090237384059,4,False,2,1,0.46376811594202905,4,2,2,True,0.37837689133425034
False,0.17543859649122806,False,2,0.0,7,5,1,3,3,2,0.31814201669174985,1,0.34318503379971704,2,True,1,2,0.0,2,1,3,False,0.06850068775790921
False,0.2807017543859649,True,4,0.30434782608695654,1,1,3,1,3,4,0.2926893783919368,1,0.4731960383587486,1,False,1,3,0.30434782608695654,2,2,3,True,0.14635488308115543
True,0.42105263157894735,True,1,0.28985507246376807,7,1,1,1,3,3,0.37802708988917766,1,0.384216318188964,2,True,2,3,0.28985507246376807,3,4,3,False,0.059642365887207706
False,0.15789473684210525,True,4,0.21739130434782608,7,1,1,2,3,2,0.09164044328909564,1,0.4966200282974375,3,True,1,1,0.21739130434782608,2,3,3,True,0.33067400275103165
True,0.07017543859649122,True,2,0.2028985507246377,7,1,4,1,3,3,0.3451634970584211,1,0.4360949536236441,3,False,1,1,0.2028985507246377,2,4,2,True,0.053204951856946354
False,0.21052631578947367,True,3,0.15942028985507248,3,1,2,4,3,3,0.04635381037077575,1,0.41047005187863544,2,True,2,2,0.15942028985507248,4,4,3,True,0.06112792297111417
True,0.12280701754385964,True,3,0.4782608695652174,7,1,1,4,2,3,0.5417293747434669,1,0.18456217575852857,2,False,2,2,0.4782608695652174,4,4,2,True,0.4184869325997249
False,0.36842105263157887,True,5,0.13043478260869565,7,1,4,4,3,4,0.11471245496419939,1,0.7896557145102971,4,False,1,2,0.13043478260869565,2,4,3,True,0.08990371389270976
False,0.2807017543859649,True,5,0.11594202898550726,3,3,1,1,3,3,0.21522324075340904,1,0.28706178273856314,1,True,1,2,0.11594202898550726,2,3,4,True,0.07867950481430536
False,0.5614035087719298,True,5,0.30434782608695654,2,1,3,3,3,3,0.2325717152369225,1,0.3916050935387518,4,True,1,3,0.30434782608695654,2,3,1,True,0.14536451169188447
True,0.2807017543859649,True,5,0.08695652173913043,6,1,4,2,3,4,0.055096456423587355,1,0.46580726300896086,3,False,2,2,0.08695652173913043,4,2,2,True,0.06883081155433288
True,0.07017543859649122,True,2,0.07246376811594203,3,1,2,1,3,3,0.07856067861540567,1,0.531205785253891,4,True,1,1,0.07246376811594203,2,3,2,True,0.06145804676753782
True,0.19298245614035092,True,5,0.5942028985507247,9,1,4,1,3,3,0.19545765494595704,1,0.3964785411098884,4,True,2,1,0.5942028985507247,5,2,3,True,0.6363686382393398
False,0.4736842105263158,True,2,0.05797101449275363,3,1,1,2,3,3,0.389916541250513,3,0.5844992925640622,1,True,1,2,0.05797101449275363,2,1,2,True,0.11444291609353507
False,0.7894736842105262,True,5,0.13043478260869565,3,1,1,4,3,2,0.018547908970675424,1,0.4469423046690772,4,False,2,2,0.13043478260869565,4,2,3,True,0.07730398899587346
True,0.7543859649122807,True,5,0.26086956521739135,9,2,4,2,1,2,0.11130569617366716,1,0.413299795629618,2,True,2,1,0.26086956521739135,2,4,1,True,0.13848693259972492
False,0.10526315789473684,True,3,0.11594202898550726,3,1,4,3,3,3,0.32539791125096906,1,0.3394120421317403,1,True,1,2,0.11594202898550726,2,3,4,True,0.15218707015130675
False,0.5087719298245613,True,3,0.26086956521739135,7,1,2,2,3,3,0.26007661786838143,1,0.43153592202483887,4,True,2,2,0.26086956521739135,3,1,1,True,0.11570839064649244
False,0.08771929824561403,True,3,0.2028985507246377,9,2,2,4,3,2,0.08970675422994481,1,0.5940889797201698,4,True,1,1,0.2028985507246377,2,3,2,True,0.07257221458046767
False,0.22807017543859642,True,5,0.46376811594202905,3,1,4,3,3,3,0.0383910247639896,1,0.4585756956453388,2,True,1,2,0.46376811594202905,2,4,3,True,0.23240715268225584
False,0.3157894736842105,True,5,0.28985507246376807,7,4,1,4,3,3,0.05647375381949194,1,0.662002829743751,4,False,2,2,0.28985507246376807,4,4,2,True,0.05705639614855571
False,0.07017543859649122,True,2,0.17391304347826086,6,1,2,3,3,3,0.19530259497423266,1,0.40481056437667035,4,False,1,1,0.17391304347826086,2,4,2,True,0.007867950481430536
False,0.14035087719298245,True,5,0.28985507246376807,3,3,4,4,3,4,0.15685228257399553,1,0.3335953466436095,2,False,1,2,0.28985507246376807,2,3,1,True,0.1642365887207703
True,0.19298245614035092,True,3,0.07246376811594203,2,1,2,2,3,3,0.06044602544807771,1,0.6116962741707279,1,True,1,2,0.07246376811594203,2,4,2,True,0.036753782668500684
True,0.14035087719298245,True,1,0.4782608695652174,2,1,4,4,3,4,0.42082364208510054,1,0.12796730073887758,2,False,2,2,0.4782608695652174,2,4,2,True,0.5900412654745529
False,0.29824561403508765,True,5,0.08695652173913043,3,2,4,4,3,3,0.1054635837095818,2,0.6099669863229054,4,False,1,2,0.08695652173913043,2,3,3,True,0.13777166437414032
False,0.05263157894736842,True,2,0.21739130434782608,2,1,2,1,3,3,0.1568112372873626,1,0.21175915736519418,4,True,1,1,0.21739130434782608,4,4,2,True,0.04401650618982118
True,0.45614035087719296,True,5,0.30434782608695654,1,1,3,2,3,4,0.11626305468144296,1,0.40952680396164126,2,False,1,3,0.30434782608695654,2,4,2,True,0.678404401650619
True,0.14035087719298245,True,2,0.4782608695652174,9,5,4,4,3,3,0.13348383271765404,1,0.5305769533092282,4,False,2,1,0.4782608695652174,3,4,3,True,0.42536451169188444
False,0.38596491228070173,True,4,0.28985507246376807,2,1,2,4,3,3,0.33767045195421164,1,0.32636377927998744,3,True,2,2,0.28985507246376807,4,4,3,True,0.07350756533700137
False,0.29824561403508765,True,3,0.13043478260869565,3,1,2,4,3,3,0.06481050759337803,1,0.39207671749724887,2,True,2,2,0.13043478260869565,4,4,2,True,0.05727647867950481
False,0.3508771929824561,True,5,0.6521739130434783,1,5,4,4,3,3,0.10949970356181876,1,0.5235025939317717,3,False,2,2,0.6521739130434783,4,4,3,False,0.13766162310866575
False,0.4736842105263158,False,5,0.10144927536231885,7,5,2,4,3,2,0.1814703333789392,2,0.3578053765131269,2,True,1,2,0.10144927536231885,2,4,3,True,0.05705639614855571
False,0.15789473684210525,True,3,0.028985507246376815,3,2,2,4,3,3,0.37411866648424313,1,0.2659959125923597,1,True,2,2,0.028985507246376815,4,1,2,True,0.054305364511691885
True,0.17543859649122806,True,3,0.4782608695652174,6,1,2,1,2,3,0.08728508231860263,1,0.6714353089136929,3,False,1,2,0.4782608695652174,3,4,3,True,0.365171939477304
False,0.07017543859649122,True,2,0.028985507246376815,5,1,2,2,3,2,0.19538468554749852,1,0.6648325734947336,1,True,1,2,0.028985507246376815,2,3,4,True,0.011279229711141679
False,0.21052631578947367,True,5,0.30434782608695654,2,2,3,2,3,3,0.2601267843298216,1,0.35922024838861816,4,True,1,3,0.30434782608695654,2,4,3,True,0.15515818431911968
False,0.5087719298245613,False,2,0.08695652173913043,7,1,1,1,3,2,0.1328088657819127,1,0.4367237855683069,3,True,2,1,0.08695652173913043,4,1,3,False,0.10960110041265475
False,0.7368421052631579,True,5,0.28985507246376807,7,1,3,4,3,3,0.07104483057417796,1,0.37116805533721114,4,False,2,3,0.28985507246376807,3,4,3,True,0.09810178817056395
False,0.4385964912280701,True,1,0.46376811594202905,10,1,4,1,3,4,0.0864824189355589,2,0.4172299952837604,3,True,1,2,0.46376811594202905,2,2,1,True,0.8587620357634113
True,0.17543859649122806,True,3,0.28985507246376807,10,1,4,2,1,4,0.12809321840653076,2,0.36487973589058326,3,False,2,2,0.28985507246376807,2,2,3,True,0.6095735900962861
False,0.17543859649122806,True,3,0.2318840579710145,10,1,4,2,1,3,0.048465362338669216,1,0.2614368809935545,3,False,2,2,0.2318840579710145,3,2,3,True,0.13089408528198074
False,0.05263157894736842,True,3,0.17391304347826086,9,1,2,1,3,2,0.07394536416290418,1,0.373840591102028,4,True,1,2,0.17391304347826086,2,4,2,True,0.030591471801925722
True,0.03508771929824561,True,3,0.11594202898550726,2,1,4,1,3,3,0.22304464815068178,1,0.5334066970602107,4,True,1,1,0.11594202898550726,2,2,2,True,0.05678129298486933
False,0.21052631578947367,False,3,0.10144927536231885,7,1,1,4,3,2,0.16233410863319195,1,0.3167740921238799,2,True,1,2,0.10144927536231885,2,3,3,False,0.0713067400275103
False,0.3157894736842105,True,3,0.28985507246376807,9,5,2,2,1,4,0.15760934008300267,1,0.6453387832101871,2,False,2,2,0.28985507246376807,3,4,3,True,0.2455570839064649
False,0.05263157894736842,True,2,0.08695652173913043,2,2,2,4,3,3,0.10127240388562046,1,0.38720326992611226,4,True,1,1,0.08695652173913043,2,2,2,True,0.11284731774415407
True,0.14035087719298245,True,3,0.10144927536231885,7,5,2,4,3,2,0.11874401422903269,3,0.5233453859456061,4,True,1,2,0.10144927536231885,2,4,3,True,0.05832187070151306
False,0.24561403508771928,True,4,0.15942028985507248,1,1,4,4,3,3,0.04480777124093583,1,0.4969344442697689,2,True,1,2,0.15942028985507248,2,2,3,True,0.15290233837689135
False,0.5263157894736842,False,5,0.07246376811594203,5,2,1,1,3,3,0.22791079491038443,3,0.6417229995283762,4,True,2,2,0.07246376811594203,4,3,3,False,0.05716643741403026
False,0.3157894736842105,True,3,0.11594202898550726,7,1,4,3,2,3,0.18948328544716558,1,0.3677094796415658,2,False,2,2,0.11594202898550726,3,2,2,True,0.10987620357634112
True,0.10526315789473684,True,4,0.46376811594202905,9,1,4,1,3,3,0.16087928125142517,1,0.2615940889797202,1,False,2,2,0.46376811594202905,3,2,3,True,0.10426409903713893
False,0.19298245614035092,True,3,0.07246376811594203,7,1,1,4,3,3,0.086933917088521,1,0.44914321647539696,1,True,2,2,0.07246376811594203,4,3,3,True,0.05364511691884457
False,0.38596491228070173,True,3,0.11594202898550726,7,4,4,2,3,3,0.14210790349797053,1,0.530105329350731,4,True,2,2,0.11594202898550726,4,4,2,True,0.05898211829436039
True,0.3157894736842105,True,3,0.13043478260869565,2,1,2,2,3,2,0.1638026177771697,1,0.6326049363307658,2,True,1,2,0.13043478260869565,2,4,3,True,0.09199449793672626
False,0.7894736842105262,True,1,0.14492753623188406,3,2,1,4,3,3,0.1187987412778766,1,0.29114919037887127,4,True,1,2,0.14492753623188406,2,2,2,True,0.06376891334250342
False,0.07017543859649122,True,1,0.15942028985507248,7,1,4,1,3,3,0.3497879326857299,1,0.5359220248388619,4,True,1,1,0.15942028985507248,2,1,2,True,0.12445667125171941
False,0.19298245614035092,True,5,0.028985507246376815,3,1,1,4,3,3,0.24344871619464584,1,0.43342241785882724,2,True,2,1,0.028985507246376815,4,2,4,True,0.08203576341127922
True,0.05263157894736842,True,2,0.08695652173913043,3,1,4,2,3,3,0.15488210881561545,1,0.27637163967929573,2,False,1,2,0.08695652173913043,2,4,2,True,0.07812929848693259
True,0.2807017543859649,True,4,0.30434782608695654,6,1,3,2,1,2,0.049149450449217855,1,0.5376513126866844,4,True,1,3,0.30434782608695654,1,4,2,True,0.08737276478679504
False,0.33333333333333337,True,2,0.30434782608695654,3,1,4,4,2,3,0.11348109636521184,1,0.4862443012105015,3,False,1,2,0.30434782608695654,2,4,2,True,0.070646492434663
False,0.14035087719298245,True,4,0.6376811594202899,1,1,2,1,3,3,0.041898116477402284,1,0.47225279044175444,3,True,1,2,0.6376811594202899,2,4,3,False,0.24973865199449796
False,0.26315789473684215,True,2,0.30434782608695654,7,2,1,4,3,3,0.13193323300041046,1,0.47696903002672536,3,False,1,2,0.30434782608695654,2,4,4,True,0.06740027510316368
False,0.4035087719298246,True,5,0.2028985507246377,2,1,3,2,3,3,0.19172253386236146,1,0.2727558559974847,1,False,1,2,0.2028985507246377,4,2,3,True,0.33623108665749657
True,0.05263157894736842,True,1,0.2028985507246377,3,1,1,4,3,3,0.2948556574086742,2,0.367080647696903,4,True,1,1,0.2028985507246377,2,3,2,True,0.010123796423658873
False,0.4035087719298246,True,4,0.6376811594202899,3,5,4,2,3,3,0.10061111871209012,1,0.4005659487501965,1,False,2,2,0.6376811594202899,2,4,3,False,0.205171939477304
False,0.12280701754385964,True,3,0.26086956521739135,1,5,4,4,3,3,0.06247548684270534,1,0.2386417229995284,3,True,1,2,0.26086956521739135,2,1,3,True,0.2750481430536451
True,0.12280701754385964,True,3,0.13043478260869565,3,5,1,2,3,3,0.12782870433711863,1,0.4687942147461091,1,False,1,2,0.13043478260869565,2,2,4,True,0.06795048143053645
False,0.5614035087719298,True,5,0.08695652173913043,7,3,3,4,3,2,0.11085875860810872,1,0.3244772834459991,4,True,1,3,0.08695652173913043,2,2,3,True,0.12418156808803302
False,0.22807017543859642,True,3,0.28985507246376807,7,1,1,4,3,3,0.027012359191863906,3,0.4799559817638736,2,False,1,2,0.28985507246376807,2,2,3,True,0.06294360385144429
False,0.3157894736842105,True,3,0.5652173913043479,2,3,1,4,3,3,0.0915583527158298,1,0.17827385631190068,4,False,2,2,0.5652173913043479,4,4,3,True,0.20863823933975242
False,0.8070175438596491,True,5,0.28985507246376807,3,1,1,1,1,2,0.208364117298308,1,0.8390190221663261,4,True,1,1,0.28985507246376807,2,4,3,True,0.117414030261348
False,0.08771929824561403,True,4,0.30434782608695654,1,2,4,4,3,3,0.07934053906143111,1,0.35859141644395537,4,True,1,2,0.30434782608695654,2,3,2,True,0.17821182943603853
False,0.14035087719298245,True,2,0.30434782608695654,3,1,2,4,3,3,0.14317052036302275,1,0.4733532463449143,4,False,1,2,0.30434782608695654,2,4,2,True,0.16126547455295737
False,0.4035087719298246,True,3,0.043478260869565216,2,1,1,3,3,3,0.10020066584576093,1,0.3131583084420689,2,False,1,2,0.043478260869565216,2,2,3,True,0.1026685006877579
False,0.49122807017543857,True,2,0.15942028985507248,1,1,2,4,3,2,0.02311761754914033,1,0.37525546297751927,2,True,2,2,0.15942028985507248,3,1,2,True,0.18398899587345255
False,0.19298245614035092,True,5,0.4782608695652174,7,2,3,2,3,3,0.432790623432298,1,0.6618456217575854,3,True,1,3,0.4782608695652174,3,4,3,True,0.14371389270976617
False,0.29824561403508765,True,3,0.4782608695652174,1,1,4,2,3,4,0.2947188397865645,1,0.2787297594717812,2,False,1,1,0.4782608695652174,2,2,3,True,0.36858321870701516
False,0.5789473684210525,True,4,0.13043478260869565,7,2,4,4,3,3,0.06762439002143476,1,0.27039773620499924,3,False,2,2,0.13043478260869565,4,4,2,True,0.023768913342503438
False,0.07017543859649122,True,3,0.28985507246376807,2,3,1,1,2,3,0.33514388653258537,1,0.6877849394749254,4,False,1,2,0.28985507246376807,1,4,3,True,0.14189821182943604
True,0.24561403508771928,True,2,0.028985507246376815,2,1,2,4,3,3,0.03022301272403885,1,0.3225907876120107,4,True,1,2,0.028985507246376815,2,1,2,True,0.24
False,0.17543859649122806,True,4,0.5652173913043479,3,5,2,4,3,3,0.3608747206640215,1,0.4628203112718126,4,False,1,1,0.5652173913043479,2,2,4,True,0.38052269601100414
False,0.24561403508771928,True,2,0.13043478260869565,2,1,2,3,1,4,0.1182925160760706,1,0.3862600220091181,1,False,1,2,0.13043478260869565,2,4,2,True,0.06734525447042641
False,0.38596491228070173,True,1,0.6376811594202899,10,5,3,2,1,1,0.2370684544169289,1,0.43295079390033014,4,False,1,3,0.6376811594202899,2,3,3,True,0.2823658872077029
False,0.3508771929824561,True,4,0.2318840579710145,2,5,4,1,3,3,0.12883659415332693,1,0.322433579625845,4,False,1,2,0.2318840579710145,2,4,3,True,0.10795048143053645
True,0.17543859649122806,True,2,0.2028985507246377,7,2,4,2,3,3,0.18095042641492223,1,0.3850023581197925,3,True,2,2,0.2028985507246377,5,3,2,True,0.11163686382393398
False,0.4035087719298246,True,2,0.028985507246376815,7,1,1,1,3,2,0.40330186528024803,1,0.3342241785882723,4,False,1,2,0.028985507246376815,2,3,3,False,0.022668500687757907
False,0.36842105263157887,True,5,0.043478260869565216,3,1,4,4,3,2,0.04070780316504766,1,0.425247602578211,4,True,1,2,0.043478260869565216,5,4,4,True,0.009683631361760661
False,0.17543859649122806,True,5,0.46376811594202905,3,1,4,4,3,3,0.36471473525790116,1,0.4851438453073416,2,True,1,2,0.46376811594202905,2,4,3,True,0.18404401650618982
False,0.49122807017543857,True,5,0.17391304347826086,3,3,2,4,2,3,0.04086286313677201,1,0.4790127338468794,3,False,1,2,0.17391304347826086,2,4,3,True,0.05303988995873452
False,0.07017543859649122,True,3,0.11594202898550726,3,1,4,1,1,3,0.03688603092078259,1,0.43373683383115863,1,True,1,2,0.11594202898550726,2,4,2,True,0.06866574965612104
False,0.4385964912280701,True,3,0.13043478260869565,7,1,1,1,3,2,0.07249965795594472,1,0.5984908033328094,2,True,2,2,0.13043478260869565,3,4,3,False,0.06019257221458047
True,0.6140350877192983,True,3,0.6376811594202899,4,1,4,1,3,3,0.2839421717517216,1,0.4621914793271498,4,True,1,2,0.6376811594202899,2,3,3,True,0.15411279229711142
False,0.4385964912280701,True,2,0.043478260869565216,7,5,1,1,3,2,0.11514571076754686,1,0.33752554629775194,3,True,2,2,0.043478260869565216,4,1,3,False,0.24577716643741404
False,0.12280701754385964,True,2,0.28985507246376807,3,5,4,4,3,3,0.16611939617822774,1,0.22575066813394123,2,True,2,2,0.28985507246376807,2,4,3,True,0.15708390646492434
False,0.10526315789473684,True,2,0.21739130434782608,3,3,1,2,3,3,0.11023851872121129,1,0.3340669706021066,3,True,1,1,0.21739130434782608,2,1,4,True,0.1630811554332875
True,0.10526315789473684,True,4,0.13043478260869565,7,1,4,2,1,2,0.06226569982213708,1,0.4705235025939318,3,True,1,2,0.13043478260869565,2,2,4,True,0.02393397524071527
False,0.24561403508771928,True,5,0.21739130434782608,3,1,1,2,3,2,0.10311944178410179,3,0.3449143216475397,2,True,1,2,0.21739130434782608,2,4,4,True,0.05782668500687758
True,0.5263157894736842,True,4,0.3913043478260869,2,1,2,2,3,3,0.03501619008528298,1,0.5783681811036001,2,True,1,2,0.3913043478260869,4,2,3,True,0.44764786795048145
True,0.08771929824561403,True,2,0.28985507246376807,7,1,2,1,3,3,0.3943266292698499,1,0.5283760415029084,4,True,1,1,0.28985507246376807,2,4,2,True,0.05265474552957359
True,0.22807017543859642,True,3,0.46376811594202905,3,1,4,1,3,3,0.5731153372554384,1,0.16962741707278733,4,True,1,1,0.46376811594202905,2,4,1,True,0.11290233837689134
False,0.5263157894736842,True,3,0.6521739130434783,9,5,4,2,1,4,0.07612076435444885,1,0.8144945763244773,2,False,1,2,0.6521739130434783,5,2,3,True,0.6577716643741403
False,0.5614035087719298,True,3,0.043478260869565216,6,1,2,3,3,2,0.02308113284991107,1,0.3744694230466908,4,True,1,2,0.043478260869565216,4,2,2,True,0.043906464924346626
True,0.7017543859649124,True,5,0.6376811594202899,9,1,3,2,3,3,0.25402015779632414,1,0.2449300424461563,3,True,1,1,0.6376811594202899,1,4,2,True,0.33925722145804676
False,0.07017543859649122,True,5,0.2028985507246377,7,1,4,3,3,4,0.21907237652209605,1,0.6580726300896087,2,True,1,2,0.2028985507246377,2,3,2,True,0.09419532324621732
False,0.07017543859649122,True,4,0.13043478260869565,5,5,1,4,3,3,0.2085602225566653,1,0.6269454488288007,4,True,2,2,0.13043478260869565,4,4,2,True,0.04110041265474553
False,0.26315789473684215,True,5,0.28985507246376807,3,4,4,4,3,3,0.2593788479956218,1,0.5387517685898444,2,True,1,2,0.28985507246376807,4,2,3,True,0.1281430536451169
False,0.33333333333333337,True,5,0.2028985507246377,2,1,2,2,3,3,0.10258585305787385,1,0.5580883508882251,4,False,1,2,0.2028985507246377,4,3,2,True,0.18497936726272352
False,0.15789473684210525,True,4,0.2028985507246377,1,1,4,4,3,3,0.06810781228622247,1,0.2226065084106273,1,True,2,2,0.2028985507246377,4,3,3,True,0.19812929848693261
False,0.29824561403508765,True,5,0.26086956521739135,1,1,4,4,3,4,0.23936242988096865,1,0.40512498034900174,4,False,1,2,0.26086956521739135,4,1,3,True,0.16649243466299862
False,0.7543859649122807,True,5,0.11594202898550726,7,1,1,4,3,2,0.22475942901445706,1,0.21474610910234243,4,True,2,2,0.11594202898550726,4,4,3,True,0.055295735900962865
False,0.7719298245614034,True,5,0.8260869565217391,7,5,3,4,1,4,0.1259178182149861,1,0.11507624587329035,4,False,1,3,0.8260869565217391,4,2,3,True,0.7431636863823934
False,0.5087719298245613,True,3,0.30434782608695654,2,5,2,2,3,2,0.2196470105349569,1,0.2449300424461563,4,False,1,2,0.30434782608695654,2,1,2,True,0.22569463548830812
False,0.33333333333333337,True,3,0.4782608695652174,2,1,2,1,3,3,0.11197610252200484,3,0.2603364250903946,2,True,1,2,0.4782608695652174,2,1,3,False,0.185474552957359
False,0.5263157894736842,True,4,0.08695652173913043,7,1,2,1,3,3,0.171696994572901,2,0.4362521616098098,3,False,2,2,0.08695652173913043,4,4,3,True,0.04335625859697387
False,0.07017543859649122,False,3,0.28985507246376807,1,1,4,1,1,3,0.04855201349933871,3,0.5409526803961642,4,True,1,1,0.28985507246376807,1,1,2,True,0.18613480055020634
False,0.017543859649122806,True,4,0.15942028985507248,7,4,4,4,3,3,0.33094814612122037,1,0.41660116333909764,3,True,1,1,0.15942028985507248,2,2,2,True,0.16154057771664374
False,0.22807017543859642,True,4,0.21739130434782608,3,1,2,1,3,4,0.16237971450722852,1,0.35450400880364724,1,False,2,2,0.21739130434782608,4,4,4,True,0.08968363136176066
True,0.3157894736842105,True,5,0.8260869565217391,9,1,3,1,3,3,0.2891914078533315,2,0.7461091023423991,4,True,1,1,0.8260869565217391,2,4,3,True,0.38778541953232465
False,0.08771929824561403,True,2,0.15942028985507248,3,5,2,2,3,3,0.24840607470242168,1,0.7038201540638265,1,True,1,2,0.15942028985507248,2,4,3,True,0.06569463548830812
True,0.6491228070175438,True,2,0.30434782608695654,2,1,2,1,1,3,0.12200027363524421,1,0.6487973589058325,1,False,1,2,0.30434782608695654,1,2,1,True,0.36434662998624484
True,0.6842105263157895,True,5,0.4782608695652174,7,1,3,2,3,4,0.16962648789164045,1,0.7027196981606667,2,False,1,3,0.4782608695652174,2,4,3,True,0.7740302613480055
True,0.6140350877192983,True,3,0.30434782608695654,9,4,2,4,3,4,0.011652300816345143,1,0.38830372582927214,3,False,3,2,0.30434782608695654,2,2,3,True,0.23889958734525446
False,0.4736842105263158,True,4,0.043478260869565216,7,1,3,4,3,4,0.06007205728097779,1,0.42147461091023425,3,False,2,2,0.043478260869565216,4,1,3,False,0.3582393397524072
True,0.15789473684210525,True,2,0.2028985507246377,2,5,1,2,3,3,0.3327723810826834,1,0.48765917308599277,3,True,1,1,0.2028985507246377,2,4,2,True,0.09215955983493809
True,0.08771929824561403,True,3,0.37681159420289856,7,1,3,2,1,3,0.06881014274638574,3,0.3560760886653042,2,True,1,2,0.37681159420289856,2,4,2,True,0.1045942228335626
