@relation train
@attribute Class real
@attribute C1 real
@attribute C2 real
@attribute C3 real
@data
1.0,1.0,1.0,1.0
0.0,2.0,0.0,1.0
1.0,1.0,1.0,2.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,4.0
0.0,1.0,1.0,2.0
0.0,1.0,1.0,4.0
1.0,2.0,1.0,2.0
0.0,1.0,1.0,4.0
0.0,2.0,0.0,4.0
1.0,2.0,1.0,4.0
0.0,1.0,0.0,3.0
0.0,1.0,1.0,1.0
1.0,2.0,0.0,1.0
0.0,1.0,1.0,2.0
1.0,1.0,1.0,1.0
0.0,2.0,1.0,4.0
1.0,2.0,1.0,4.0
0.0,1.0,1.0,4.0
0.0,1.0,1.0,1.0
0.0,1.0,1.0,3.0
1.0,2.0,1.0,2.0
1.0,1.0,1.0,1.0
1.0,2.0,1.0,1.0
0.0,1.0,1.0,2.0
0.0,2.0,1.0,4.0
1.0,2.0,1.0,2.0
0.0,1.0,1.0,3.0
0.0,2.0,1.0,2.0
0.0,1.0,1.0,4.0
0.0,1.0,1.0,3.0
0.0,2.0,1.0,4.0
0.0,1.0,1.0,3.0
0.0,1.0,1.0,4.0
1.0,1.0,1.0,2.0
1.0,2.0,1.0,4.0
0.0,1.0,1.0,4.0
0.0,1.0,1.0,1.0
1.0,1.0,1.0,2.0
1.0,2.0,1.0,4.0
0.0,2.0,1.0,4.0
0.0,2.0,1.0,4.0
0.0,2.0,0.0,4.0
0.0,1.0,1.0,4.0
0.0,2.0,1.0,4.0
1.0,1.0,1.0,1.0
0.0,1.0,1.0,2.0
0.0,1.0,1.0,2.0
0.0,2.0,0.0,1.0
0.0,2.0,1.0,4.0
0.0,1.0,1.0,1.0
1.0,2.0,1.0,2.0
0.0,2.0,1.0,2.0
0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
0.0,1.0,0.0,4.0
0.0,2.0,1.0,2.0
0.0,1.0,1.0,4.0
1.0,1.0,1.0,4.0
0.0,1.0,1.0,4.0
0.0,2.0,0.0,1.0
0.0,2.0,1.0,3.0
1.0,2.0,1.0,1.0
0.0,2.0,1.0,4.0
0.0,2.0,1.0,2.0
1.0,1.0,1.0,2.0
0.0,1.0,1.0,4.0
0.0,1.0,1.0,1.0
0.0,2.0,1.0,4.0
