@relation relation name
@attribute Class {True, False}
@attribute C1 real
@attribute C2 {True, False}
@attribute C3 string
@attribute C4 real
@attribute C5 string
@attribute C6 string
@attribute C8 string
@attribute C12 string
@attribute C13 string
@attribute C14 string
@attribute C16 real
@attribute C18 string
@attribute C19 real
@attribute C20 string
@attribute C22 {True, False}
@attribute C23 string
@attribute C24 string
@attribute C25 real
@attribute C26 string
@attribute C27 string
@attribute C28 string
@attribute C29 {True, False}
@attribute C31 real
@data
True,0.6140350877192983,True,'V5',0.11594202898550726,'V2','V1','V3','V1','V3','V4',0.13461941898116478,'V1',0.2439867945291621,'V4',False,'V1','V3',0.11594202898550726,'V2','V4','V3',True,0.41903713892709765
False,0.29824561403508765,True,'V3',0.11594202898550726,'V7','V1','V1','V1','V3','V3',0.7114014685091439,'V1',0.45401666404653357,'V2',True,'V2','V1',0.11594202898550726,'V4','V2','V3',False,0.20110041265474554
True,0.38596491228070173,True,'V5',0.21739130434782608,'V2','V1','V3','V2','V3','V4',0.09373375290737447,'V1',0.2276371639679296,'V3',False,'V1','V2',0.21739130434782608,'V3','V4','V1',True,0.22266850068775793
False,0.17543859649122806,True,'V3',0.15942028985507248,'V7','V1','V4','V1','V3','V3',0.2504081725726273,'V1',0.6245873290363151,'V4',True,'V1','V1',0.15942028985507248,'V2','V2','V2',True,0.06343878954607979
False,0.38596491228070173,True,'V3',0.11594202898550726,'V1','V1','V1','V4','V3','V3',0.021498609020841886,'V1',0.5068385473982078,'V4',True,'V1','V1',0.11594202898550726,'V3','V4','V4',True,0.06899587345254471
False,0.12280701754385964,True,'V2',0.11594202898550726,'V3','V1','V1','V2','V1','V2',0.05397911250969124,'V3',0.27637163967929573,'V1',True,'V1','V2',0.11594202898550726,'V2','V4','V4',True,0.02063273727647868
False,0.7543859649122807,True,'V3',0.043478260869565216,'V4','V3','V1','V4','V3','V3',0.25963424089022663,'V1',0.31944662788869677,'V4',True,'V1','V2',0.043478260869565216,'V2','V1','V1',True,0.059862448418156806
True,0.10526315789473684,True,'V2',0.13043478260869565,'V2','V1','V2','V2','V3','V3',0.31011082227390885,'V1',0.5810407168684169,'V3',True,'V2','V1',0.13043478260869565,'V5','V4','V2',True,0.14960110041265476
False,0.12280701754385964,True,'V3',0.11594202898550726,'V2','V1','V1','V4','V3','V3',0.1103981392803393,'V1',0.7729916679767332,'V1',False,'V1','V2',0.11594202898550726,'V2','V4','V2',True,0.028225584594222836
False,0.45614035087719296,True,'V5',0.4782608695652174,'V7','V1','V4','V4','V3','V3',0.05626852738632735,'V1',0.334381386574438,'V2',False,'V2','V2',0.4782608695652174,'V3','V2','V3',False,0.5845942228335625
True,0.07017543859649122,True,'V2',0.46376811594202905,'V2','V1','V2','V4','V3','V3',0.058557942262963465,'V1',0.3666090237384059,'V4',False,'V2','V1',0.46376811594202905,'V4','V2','V2',True,0.37837689133425034
False,0.17543859649122806,False,'V2',0.0,'V7','V5','V1','V3','V3','V2',0.31814201669174985,'V1',0.34318503379971704,'V2',True,'V1','V2',0.0,'V2','V1','V3',False,0.06850068775790921
